"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3504","Удаление товара из корзины","Surefire suite","2026-05-28","passed","2026-05-28","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeFromCart"
"","3008","Вызов окна ошибки на странице Checkout","Surefire suite","2026-05-28","passed","2026-05-28","tests.ErrorMessageTest","Surefire test","tests.ErrorMessageTest","errorMessageTest"
"","966","Добавление товара в корзину","Surefire suite","2026-05-28","passed","2026-05-28","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","479","Проверка входа с пустым паролем","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","497","Проверка входа в систему с негативными значениями","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"","467","Проверка входа с пустым логином","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUser"
"","741","checkLocator","Surefire suite","2026-05-28","passed","2026-05-28","tests.old.LocatorTest","Surefire test","tests.old.LocatorTest","checkLocator"
"","483","negativeLogin","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","1913","Нажатие кнопки 'Cancel' на странице 'Checkout: Your Information'","Surefire suite","2026-05-28","passed","2026-05-28","tests.CancelTest","Surefire test","tests.CancelTest","cancelTest"
"","489","addCart","Surefire suite","2026-05-28","passed","2026-05-28","tests.old.AddToCartTest","Surefire test","tests.old.AddToCartTest","addCart"
"","1","test","Surefire suite","2026-05-28","passed","2026-05-28","tests.LogTest","Surefire test","tests.LogTest","test"
"","468","negativeLogin","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","1708","E2E оформление покупки","Surefire suite","2026-05-28","passed","2026-05-28","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkoutTest"
"","493","проверка входа в систему с позитивными значениями","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveValue"
"","493","negativeLogin","Surefire suite","2026-05-28","passed","2026-05-28","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","1023","Проверка кнопки 'Continue' на странице 'Cart'","Surefire suite","2026-05-28","passed","2026-05-28","tests.ContinueTest","Surefire test","tests.ContinueTest","cancelTest"
